Id,SalePrice_pred
1461,116594.31
1462,153461.91
1463,165892.14
1464,184557.62
1465,197421.65
1466,170045.15
1467,180287.29
1468,156601.24
1469,208632.52
1470,117058.06
1471,179457.71
1472,98125.82
1473,91905.51
1474,147818.16
1475,116630.48
1476,361065.71
1477,250506.67
1478,318269.68
1479,308584.88
1480,435865.06
1481,308762.4
1482,215795.35
1483,172602.63
1484,165381.08
1485,198504.26
1486,197582.82
1487,324358.47
1488,234912.52
1489,189763.98
1490,247221.09
1491,202666.54
1492,96227.44
1493,212987.88
1494,307366.01
1495,292303.1
1496,240173.32
1497,172580.88
1498,161424.42
1499,161256.57
1500,155243.75
1501,183217.53
1502,147577.36
1503,271836.59
1504,238376.01
1505,221727.32
1506,189705.44
1507,244183.62
1508,186738.77
1509,157224.32
1510,142000.14
1511,146653.36
1512,178477.93
1513,159850.37
1514,154988.05
1515,197518.96
1516,160388.35
1517,174203.01
1518,122887.68
1519,216529.31
1520,123156.1
1521,125966.62
1522,188147.6
1523,98504.26
1524,115239.77
1525,111720.34
1526,91481.55
1527,93789.76
1528,143219.47
1529,138765.87
1530,218421.72
1531,122982.18
1532,108710.73
1533,160555.23
1534,120560.8
1535,153626.08
1536,99910.81
1537,36072.39
1538,156280.45
1539,202387.38
1540,124359.93
1541,128397.83
1542,145891.64
1543,194505.21
1544,90618.91
1545,123766.11
1546,141546.84
1547,136360.2
1548,140287.58
1549,115667.57
1550,142544.81
1551,117545.14
1552,152519.06
1553,156113.26
1554,115297.85
1555,164355.36
1556,89790.02
1557,97234.68
1558,106145.18
1559,81793.57
1560,129398.53
1561,119138.7
1562,133807.53
1563,117854.28
1564,149131.2
1565,149481.09
1566,243192.91
1567,74581.46
1568,225719.94
1569,121030.18
1570,144680.34
1571,94786.21
1572,137182.4
1573,238664.77
1574,119203.12
1575,257111.64
1576,239266.51
1577,177614.65
1578,137170.04
1579,137974.11
1580,188902.86
1581,158965.78
1582,137165.48
1583,270703.48
1584,225313.18
1585,144765.27
1586,42632.72
1587,106906.53
1588,165721.09
1589,100212.35
1590,127076.87
1591,89910.86
1592,136695.21
1593,135735.16
1594,147205.84
1595,122683.59
1596,231090.83
1597,193529.95
1598,220144.39
1599,198823.65
1600,171846.63
1601,35155.56
1602,120845.2
1603,80066.2
1604,282294.52
1605,237726.56
1606,155630.12
1607,161602.09
1608,206850.67
1609,181599.76
1610,145044.69
1611,144410.43
1612,187247.4
1613,160065.88
1614,148109.84
1615,87444.73
1616,68127.52
1617,75196.2
1618,114283.99
1619,153459.28
1620,163121.11
1621,132023.56
1622,145874.39
1623,259115.8
1624,202708.8
1625,107593.68
1626,177196.21
1627,177955.68
1628,291079.85
1629,187265.54
1630,318616.05
1631,209907.58
1632,227407.77
1633,185726.89
1634,181868.52
1635,174497.28
1636,156586.98
1637,190804.68
1638,199945.41
1639,181487.8
1640,248159.41
1641,180884.32
1642,257814.45
1643,222543.84
1644,228918.05
1645,215536.45
1646,165840.29
1647,160758.11
1648,125298.06
1649,136407.78
1650,112040.65
1651,117070.8
1652,101557.27
1653,105679.22
1654,147720.16
1655,138928.15
1656,137773.39
1657,148419.37
1658,146426.55
1659,122219.45
1660,152263.94
1661,401923.57
1662,375303.29
1663,370093.76
1664,451380.78
1665,333595.16
1666,329654.92
1667,363738.9
1668,355128.58
1669,321553.01
1670,352107.93
1671,258902.3
1672,392170.43
1673,290808.54
1674,248572.6
1675,203741.44
1676,203534.87
1677,216289.98
1678,433489.69
1679,377674.0
1680,330143.81
1681,290859.81
1682,328612.5
1683,198955.42
1684,184285.67
1685,179539.65
1686,169834.3
1687,190287.26
1688,193204.35
1689,201819.43
1690,197202.75
1691,187375.82
1692,274718.2
1693,190158.19
1694,175168.95
1695,177340.23
1696,262735.84
1697,181476.78
1698,336968.61
1699,308464.41
1700,267401.63
1701,284306.88
1702,241870.82
1703,239149.21
1704,262522.71
1705,252124.56
1706,399431.41
1707,230103.99
1708,203078.42
1709,255299.26
1710,214974.74
1711,276685.95
1712,246639.82
1713,275127.1
1714,221163.19
1715,206978.96
1716,180862.63
1717,179988.32
1718,141325.73
1719,228079.15
1720,238789.49
1721,176746.85
1722,133942.84
1723,158075.89
1724,206640.27
1725,233519.45
1726,188537.26
1727,146241.31
1728,190210.63
1729,157158.23
1730,165073.19
1731,132333.23
1732,130675.65
1733,107383.61
1734,113588.1
1735,143246.03
1736,114136.23
1737,300609.22
1738,255900.34
1739,269714.63
1740,198517.38
1741,182624.69
1742,173520.81
1743,184292.61
1744,323108.71
1745,214592.44
1746,241657.63
1747,209375.17
1748,233977.06
1749,153817.32
1750,144023.37
1751,240489.57
1752,103091.21
1753,148373.46
1754,205073.36
1755,156673.78
1756,125397.6
1757,111212.26
1758,155100.9
1759,167850.09
1760,168089.33
1761,151306.97
1762,184551.14
1763,199280.9
1764,111583.92
1765,198564.11
1766,191336.22
1767,215348.65
1768,145496.51
1769,168850.17
1770,152282.48
1771,113541.67
1772,137218.91
1773,115396.62
1774,140692.72
1775,138486.33
1776,135830.81
1777,104462.06
1778,141891.81
1779,126354.83
1780,189337.82
1781,120949.79
1782,73474.42
1783,143804.46
1784,94606.08
1785,141498.61
1786,103241.27
1787,176922.61
1788,63719.21
